trial_id,relation,subject,target,competitor,target_id,competitor_id,argmax_id,argmax_token,target_rank,target_logit,competitor_logit,margin,is_top1,is_top5
P264_10597,P264,Meredith Andrews,Word,Brunswick,9322,60150,279, the,3550,4.84375,5.46875,-0.625,False,False
P27_10002,P27,Colmar Freiherr von der Goltz,Germany,Canada,9856,6864,279, the,5,14.0625,8.875,5.1875,False,True
P27_10008,P27,Paolo Martin,Italy,Canada,15344,6864,892, which,2,16.625,12.8125,3.8125,False,True
P276_10021,P276,Jay Treaty,London,Melbourne,7148,26437,279, the,167,9.9375,3.875,6.0625,False,False
P276_10062,P276,Chelyabinsk meteor,Russia,London,8359,7148,3881, known,965,8.1875,3.25,4.9375,False,False
P30_10003,P30,Liard Island,Antarctica,Europe,71687,4505,279, the,315,9.125,10.625,-1.5,False,False
P30_10028,P30,Whillans Ice Stream,Antarctica,Europe,71687,4505,71687, Antarctica,1,22.625,15.0,7.625,True,True
P36_10035,P36,Saxony,Dresden,Paris,85445,12095,264, a,2,16.625,3.65625,12.96875,False,True
P36_10369,P36,Second French Empire,Paris,Prague,12095,67289,12095, Paris,1,19.625,9.4375,10.1875,True,True
P364_10013,P364,Conjunctions,English,French,6364,8585,6364, English,1,14.4375,12.5,1.9375,True,True
P364_10039,P364,Rasigan,Tamil,English,43783,6364,264, a,883,8.25,12.8125,-4.5625,False,False
P37_10078,P37,Papua New Guinea,English,Finnish,6364,57853,21447, Tok,2,18.875,6.96875,11.90625,False,True
P37_10134,P37,Zimbabwe,English,Finnish,6364,57853,6364, English,1,19.375,8.5,10.875,True,True
P39_10010,P39,Maximianus of Ravenna,bishop,pope,53206,63272,35859, saint,8,15.25,12.875,2.375,False,False
P39_10025,P39,Bernard Tissier de Mallerais,bishop,pope,53206,63272,10560, Director,632,7.875,5.09375,2.78125,False,False
P407_10033,P407,Vogue Italia,Italian,French,14811,8585,5497, changed,2,14.75,12.0625,2.6875,False,True
P407_10082,P407,I Got a Boy,Korean,French,16134,8585,16134, Korean,1,16.375,11.9375,4.4375,True,True
P413_10029,P413,Don Meredith,quarterback,midfielder,19481,43967,315, of,134,11.375,7.625,3.75,False,False
P413_1006,P413,Jonathan Goff,linebacker,midfielder,47700,43967,62200, goalkeeper,53,12.0625,15.0,-2.9375,False,False
P449_10023,P449,Whew!,CBS,NBC,24029,23521,3217, May,147,10.1875,7.84375,2.34375,False,False
P449_10104,P449,Dough Re Mi,NBC,CBS,23521,24029,16390, Disney,25,13.5625,14.5625,-1.0,False,False
P463_10050,P463,Football Association of Zambia,FIFA,NATO,43642,29234,2701, following,19,13.4375,3.25,10.1875,False,False
P463_10121,P463,Tajikistan National Football Federation,FIFA,NATO,43642,29234,14533, Asian,7,15.4375,6.78125,8.65625,False,False
P495_10012,P495,Franco-Belgian comics,Belgium,Japan,32961,6323,279, the,4,17.875,8.125,9.75,False,True
P495_1003,P495,Comic High!,Japan,Canada,6323,6864,220, ,5,16.375,14.1875,2.1875,False,True
P641_10047,P641,Stan Musial,baseball,soccer,19507,22174,19507, baseball,1,20.125,12.625,7.5,True,True
P641_10270,P641,Billy Sunday,baseball,soccer,19507,22174,315, of,4,16.625,13.5625,3.0625,False,True
P740_10016,P740,Pentacon,Dresden,London,85445,7148,220, ,2,20.25,10.6875,9.5625,False,True
P740_10054,P740,Larsen & Toubro,Mumbai,London,34712,7148,220, ,7,17.125,12.875,4.25,False,False
P937_10004,P937,Adam Jerzy Czartoryski,Paris,London,12095,7148,279, the,5,14.8125,11.25,3.5625,False,True
P937_10060,P937,Jonathan Meese,Hamburg,London,50462,7148,279, the,24,10.0,10.625,-0.625,False,False
