trial_id,relation,subject,target,competitor,prompt,corrupt_subject,corrupt_target,corrupt_prompt
P103_676,P103,Ivan Ivanov-Vano,Russian,French,Ivan Ivanov-Vano spoke the language,Maurice Renard,French,"Maurice Renard, speaker of"
P103_774,P103,Maurice Renard,French,Russian,"Maurice Renard, speaker of",Henri Decoin,French,"Henri Decoin, speaker of"
P103_788,P103,Henri Decoin,French,Russian,"Henri Decoin, speaker of",Claude Rich,French,The native language of Claude Rich is
P103_821,P103,Claude Rich,French,Russian,The native language of Claude Rich is,Blaise Pascal,French,The mother tongue of Blaise Pascal is
P103_838,P103,Blaise Pascal,French,Russian,The mother tongue of Blaise Pascal is,Jean Giraudoux,French,Jean Giraudoux is a native speaker of
P103_846,P103,Jean Giraudoux,French,Russian,Jean Giraudoux is a native speaker of,Pierre Brasseur,French,"Pierre Brasseur, a native"
P103_891,P103,Pierre Brasseur,French,Russian,"Pierre Brasseur, a native",Freek de Jonge,Dutch,The native language of Freek de Jonge is
P103_902,P103,Freek de Jonge,Dutch,French,The native language of Freek de Jonge is,Pierre Reverdy,French,Pierre Reverdy spoke the language
P103_910,P103,Pierre Reverdy,French,Russian,Pierre Reverdy spoke the language,Marcelin Pleynet,French,Marcelin Pleynet is a native speaker of
P103_1104,P103,Marcelin Pleynet,French,Russian,Marcelin Pleynet is a native speaker of,Dominique Lapierre,French,"Dominique Lapierre, speaker of"
P103_1129,P103,Dominique Lapierre,French,Russian,"Dominique Lapierre, speaker of",Jean-Baptiste Henri Lacordaire,French,Jean-Baptiste Henri Lacordaire is a native speaker of
P103_1137,P103,Jean-Baptiste Henri Lacordaire,French,Russian,Jean-Baptiste Henri Lacordaire is a native speaker of,Henri Gault,French,The mother tongue of Henri Gault is
P103_1142,P103,Henri Gault,French,Russian,The mother tongue of Henri Gault is,Imanol Arias,Spanish,"Imanol Arias, a native"
P103_1149,P103,Imanol Arias,Spanish,French,"Imanol Arias, a native",Ilya Nikolaevich Ulyanov,Russian,The native language of Ilya Nikolaevich Ulyanov is
P103_1259,P103,Ilya Nikolaevich Ulyanov,Russian,French,The native language of Ilya Nikolaevich Ulyanov is,Boris Asafyev,Russian,"Boris Asafyev, a native"
P103_1272,P103,Boris Asafyev,Russian,French,"Boris Asafyev, a native",Nadezhda Krupskaya,Russian,"Nadezhda Krupskaya, a native"
P103_1279,P103,Nadezhda Krupskaya,Russian,French,"Nadezhda Krupskaya, a native",Clio Goldsmith,French,"Clio Goldsmith, speaker of"
P103_1299,P103,Clio Goldsmith,French,Russian,"Clio Goldsmith, speaker of",Didier Daeninckx,French,The native language of Didier Daeninckx is
P103_1308,P103,Didier Daeninckx,French,Russian,The native language of Didier Daeninckx is,Grigore Moisil,Romanian,The mother tongue of Grigore Moisil is
P103_1318,P103,Grigore Moisil,Romanian,French,The mother tongue of Grigore Moisil is,Paul Citroen,Dutch,Paul Citroen spoke the language
P103_1322,P103,Paul Citroen,Dutch,French,Paul Citroen spoke the language,Riebeeck Jan Van,Dutch,Riebeeck Jan Van spoke the language
P103_1336,P103,Riebeeck Jan Van,Dutch,French,Riebeeck Jan Van spoke the language,Paul Frankeur,French,Paul Frankeur is a native speaker of
P103_1341,P103,Paul Frankeur,French,Russian,Paul Frankeur is a native speaker of,Francis Jammes,French,The native language of Francis Jammes is
P103_1350,P103,Francis Jammes,French,Russian,The native language of Francis Jammes is,Hendrik Lorentz,Dutch,"Hendrik Lorentz, a native"
P103_1379,P103,Hendrik Lorentz,Dutch,French,"Hendrik Lorentz, a native",Jules Barbier,French,"Jules Barbier, speaker of"
P103_1442,P103,Jules Barbier,French,Russian,"Jules Barbier, speaker of",Maurice Schutz,French,"Maurice Schutz, speaker of"
P103_1501,P103,Maurice Schutz,French,Russian,"Maurice Schutz, speaker of",Joseph Buonaparte,French,"Joseph Buonaparte, a native"
P103_1514,P103,Joseph Buonaparte,French,Russian,"Joseph Buonaparte, a native",Kannadasan,Tamil,Kannadasan is a native speaker of
P103_1539,P103,Kannadasan,Tamil,French,Kannadasan is a native speaker of,Vladimir Bukovsky,Russian,Vladimir Bukovsky is a native speaker of
P103_1576,P103,Vladimir Bukovsky,Russian,French,Vladimir Bukovsky is a native speaker of,Tonino Benacquista,French,Tonino Benacquista is a native speaker of
P103_1613,P103,Tonino Benacquista,French,Russian,Tonino Benacquista is a native speaker of,Pierre Blanchar,French,The mother tongue of Pierre Blanchar is
P103_1622,P103,Pierre Blanchar,French,Russian,The mother tongue of Pierre Blanchar is,Paul-Jean Toulet,French,The native language of Paul-Jean Toulet is
P103_1626,P103,Paul-Jean Toulet,French,Russian,The native language of Paul-Jean Toulet is,Andreas Karkavitsas,Greek,Andreas Karkavitsas spoke the language
P103_1663,P103,Andreas Karkavitsas,Greek,French,Andreas Karkavitsas spoke the language,Pierre Schneiter,French,Pierre Schneiter spoke the language
P103_1664,P103,Pierre Schneiter,French,Russian,Pierre Schneiter spoke the language,Marcel Ichac,French,Marcel Ichac is a native speaker of
P103_1745,P103,Marcel Ichac,French,Russian,Marcel Ichac is a native speaker of,Nie Weiping,Chinese,"Nie Weiping, a native"
P103_1787,P103,Nie Weiping,Chinese,French,"Nie Weiping, a native",Jacobus Revius,Dutch,"Jacobus Revius, a native"
P103_1886,P103,Jacobus Revius,Dutch,French,"Jacobus Revius, a native",Emmanuel Macron,French,Emmanuel Macron is a native speaker of
P103_1892,P103,Emmanuel Macron,French,Russian,Emmanuel Macron is a native speaker of,Ivan Puni,Russian,"Ivan Puni, a native"
P103_1897,P103,Ivan Puni,Russian,French,"Ivan Puni, a native",Fred Vargas,French,"Fred Vargas, a native"
P103_1930,P103,Fred Vargas,French,Russian,"Fred Vargas, a native",Roland Armontel,French,The mother tongue of Roland Armontel is
P103_1964,P103,Roland Armontel,French,Russian,The mother tongue of Roland Armontel is,Maurice Biraud,French,"Maurice Biraud, a native"
P103_2004,P103,Maurice Biraud,French,Russian,"Maurice Biraud, a native",Giovanni Boccaccio,Italian,"Giovanni Boccaccio, speaker of"
P103_2032,P103,Giovanni Boccaccio,Italian,French,"Giovanni Boccaccio, speaker of",Kim Philby,English,"Kim Philby, speaker of"
P103_2061,P103,Kim Philby,English,French,"Kim Philby, speaker of",Lindsey Davis,English,Lindsey Davis is a native speaker of
P103_2074,P103,Lindsey Davis,English,French,Lindsey Davis is a native speaker of,Isabelle Autissier,French,Isabelle Autissier is a native speaker of
P103_2086,P103,Isabelle Autissier,French,Russian,Isabelle Autissier is a native speaker of,Xavier Beauvois,French,Xavier Beauvois is a native speaker of
P103_2089,P103,Xavier Beauvois,French,Russian,Xavier Beauvois is a native speaker of,Jean-Claude Izzo,French,"Jean-Claude Izzo, speaker of"
P103_2092,P103,Jean-Claude Izzo,French,Russian,"Jean-Claude Izzo, speaker of",Edwy Plenel,French,"Edwy Plenel, speaker of"
P103_2138,P103,Edwy Plenel,French,Russian,"Edwy Plenel, speaker of",Nicolas Giraud,French,Nicolas Giraud spoke the language
P103_2191,P103,Nicolas Giraud,French,Russian,Nicolas Giraud spoke the language,Roger Coggio,French,Roger Coggio is a native speaker of
P103_2266,P103,Roger Coggio,French,Russian,Roger Coggio is a native speaker of,Alain Mabanckou,French,"Alain Mabanckou, a native"
P103_2279,P103,Alain Mabanckou,French,Russian,"Alain Mabanckou, a native",Joseph Conombo,French,"Joseph Conombo, a native"
P103_2305,P103,Joseph Conombo,French,Russian,"Joseph Conombo, a native",Mathieu de Montmorency,French,Mathieu de Montmorency is a native speaker of
P103_2335,P103,Mathieu de Montmorency,French,Russian,Mathieu de Montmorency is a native speaker of,Olga Medvedtseva,Russian,"Olga Medvedtseva, a native"
P103_2347,P103,Olga Medvedtseva,Russian,French,"Olga Medvedtseva, a native",Eduardo Duhalde,Spanish,The native language of Eduardo Duhalde is
P103_2371,P103,Eduardo Duhalde,Spanish,French,The native language of Eduardo Duhalde is,Menno ter Braak,Dutch,Menno ter Braak spoke the language
P103_2401,P103,Menno ter Braak,Dutch,French,Menno ter Braak spoke the language,Alex Ferguson,English,The native language of Alex Ferguson is
P103_2404,P103,Alex Ferguson,English,French,The native language of Alex Ferguson is,Jean-Sifrein Maury,French,Jean-Sifrein Maury is a native speaker of
P103_2428,P103,Jean-Sifrein Maury,French,Russian,Jean-Sifrein Maury is a native speaker of,Giuseppe Saronni,Italian,The native language of Giuseppe Saronni is
P103_2448,P103,Giuseppe Saronni,Italian,French,The native language of Giuseppe Saronni is,Michel-Jean Sedaine,French,The mother tongue of Michel-Jean Sedaine is
P103_2465,P103,Michel-Jean Sedaine,French,Russian,The mother tongue of Michel-Jean Sedaine is,Eugene Kaspersky,Russian,The native language of Eugene Kaspersky is
P103_2494,P103,Eugene Kaspersky,Russian,French,The native language of Eugene Kaspersky is,Lee Chang-dong,Korean,"Lee Chang-dong, a native"
P103_2532,P103,Lee Chang-dong,Korean,French,"Lee Chang-dong, a native",Paul Collin,French,Paul Collin spoke the language
P103_2533,P103,Paul Collin,French,Russian,Paul Collin spoke the language,Maarten Tromp,Dutch,Maarten Tromp spoke the language
P103_2549,P103,Maarten Tromp,Dutch,French,Maarten Tromp spoke the language,Vladimir Vinogradov,Russian,"Vladimir Vinogradov, speaker of"
P103_2569,P103,Vladimir Vinogradov,Russian,French,"Vladimir Vinogradov, speaker of",Suzy Vernon,French,Suzy Vernon spoke the language
P103_2570,P103,Suzy Vernon,French,Russian,Suzy Vernon spoke the language,Jacques Doriot,French,Jacques Doriot is a native speaker of
P103_2585,P103,Jacques Doriot,French,Russian,Jacques Doriot is a native speaker of,Pyotr Vyazemsky,Russian,"Pyotr Vyazemsky, a native"
P103_2589,P103,Pyotr Vyazemsky,Russian,French,"Pyotr Vyazemsky, a native",Jacques MacDonald,French,The native language of Jacques MacDonald is
P103_2590,P103,Jacques MacDonald,French,Russian,The native language of Jacques MacDonald is,Jean Desailly,French,The native language of Jean Desailly is
P103_2599,P103,Jean Desailly,French,Russian,The native language of Jean Desailly is,Suzy Prim,French,The mother tongue of Suzy Prim is
P103_2606,P103,Suzy Prim,French,Russian,The mother tongue of Suzy Prim is,Brian May,English,The native language of Brian May is
P103_2611,P103,Brian May,English,French,The native language of Brian May is,Simon Dubnow,Russian,The native language of Simon Dubnow is
P103_2643,P103,Simon Dubnow,Russian,French,The native language of Simon Dubnow is,Jean-Paul Sartre,French,"Jean-Paul Sartre, a native"
P103_2647,P103,Jean-Paul Sartre,French,Russian,"Jean-Paul Sartre, a native",Marcel Schwob,French,The mother tongue of Marcel Schwob is
P103_2654,P103,Marcel Schwob,French,Russian,The mother tongue of Marcel Schwob is,Joachim Lebreton,French,The mother tongue of Joachim Lebreton is
P103_2663,P103,Joachim Lebreton,French,Russian,The mother tongue of Joachim Lebreton is,Dominique Sanda,French,"Dominique Sanda, a native"
P103_2704,P103,Dominique Sanda,French,Russian,"Dominique Sanda, a native",Ingrian Finns,Finnish,"Ingrian Finns, a native"
P103_2707,P103,Ingrian Finns,Finnish,French,"Ingrian Finns, a native",Guy Debord,French,The mother tongue of Guy Debord is
P103_2742,P103,Guy Debord,French,Russian,The mother tongue of Guy Debord is,Roman Karmen,Russian,Roman Karmen spoke the language
P103_2773,P103,Roman Karmen,Russian,French,Roman Karmen spoke the language,William Butler Yeats,English,"William Butler Yeats, a native"
P103_2784,P103,William Butler Yeats,English,French,"William Butler Yeats, a native",Hugo von Hofmannsthal,German,"Hugo von Hofmannsthal, a native"
P103_2788,P103,Hugo von Hofmannsthal,German,French,"Hugo von Hofmannsthal, a native",Pierre Bec,French,The native language of Pierre Bec is
P103_2789,P103,Pierre Bec,French,Russian,The native language of Pierre Bec is,Laura Smet,French,"Laura Smet, speaker of"
P103_2810,P103,Laura Smet,French,Russian,"Laura Smet, speaker of",Nathalie Baye,French,Nathalie Baye spoke the language
P103_2829,P103,Nathalie Baye,French,Russian,Nathalie Baye spoke the language,Leconte de Lisle,French,Leconte de Lisle spoke the language
P103_2882,P103,Leconte de Lisle,French,Russian,Leconte de Lisle spoke the language,Marc Caro,French,"Marc Caro, a native"
P103_2934,P103,Marc Caro,French,Russian,"Marc Caro, a native",Yuliya Snigir,Russian,The mother tongue of Yuliya Snigir is
P103_2948,P103,Yuliya Snigir,Russian,French,The mother tongue of Yuliya Snigir is,Jacques Dumesnil,French,"Jacques Dumesnil, speaker of"
P103_2972,P103,Jacques Dumesnil,French,Russian,"Jacques Dumesnil, speaker of",Charles Chamberland,French,Charles Chamberland is a native speaker of
P103_2994,P103,Charles Chamberland,French,Russian,Charles Chamberland is a native speaker of,Claude Cerval,French,Claude Cerval spoke the language
P103_3021,P103,Claude Cerval,French,Russian,Claude Cerval spoke the language,Aleksandr Ptushko,Russian,The native language of Aleksandr Ptushko is
P103_3024,P103,Aleksandr Ptushko,Russian,French,The native language of Aleksandr Ptushko is,John Paul II,Polish,John Paul II spoke the language
P103_3046,P103,John Paul II,Polish,French,John Paul II spoke the language,Virgil,Latin,Virgil is a native speaker of
P103_3108,P103,Virgil,Latin,French,Virgil is a native speaker of,Jeanne Balibar,French,The native language of Jeanne Balibar is
P103_3135,P103,Jeanne Balibar,French,Russian,The native language of Jeanne Balibar is,Michel Etcheverry,French,Michel Etcheverry spoke the language
P103_3143,P103,Michel Etcheverry,French,Russian,Michel Etcheverry spoke the language,Raimu,French,The native language of Raimu is
P103_3184,P103,Raimu,French,Russian,The native language of Raimu is,Claude Ribbe,French,"Claude Ribbe, speaker of"
P103_3217,P103,Claude Ribbe,French,Russian,"Claude Ribbe, speaker of",Camille Flammarion,French,The mother tongue of Camille Flammarion is
P103_3225,P103,Camille Flammarion,French,Russian,The mother tongue of Camille Flammarion is,Jan Peter Balkenende,Dutch,The native language of Jan Peter Balkenende is
P103_3248,P103,Jan Peter Balkenende,Dutch,French,The native language of Jan Peter Balkenende is,Claude Bernard,French,Claude Bernard spoke the language
P103_3284,P103,Claude Bernard,French,Russian,Claude Bernard spoke the language,Jean-Baptiste Philibert Willaumez,French,"Jean-Baptiste Philibert Willaumez, speaker of"
P103_3330,P103,Jean-Baptiste Philibert Willaumez,French,Russian,"Jean-Baptiste Philibert Willaumez, speaker of",Yvonne Monlaur,French,"Yvonne Monlaur, a native"
P103_3331,P103,Yvonne Monlaur,French,Russian,"Yvonne Monlaur, a native",Patrice Leconte,French,Patrice Leconte spoke the language
P103_3343,P103,Patrice Leconte,French,Russian,Patrice Leconte spoke the language,Orane Demazis,French,"Orane Demazis, a native"
P103_3390,P103,Orane Demazis,French,Russian,"Orane Demazis, a native",Maurice Viollette,French,Maurice Viollette is a native speaker of
P103_3397,P103,Maurice Viollette,French,Russian,Maurice Viollette is a native speaker of,Roland Topor,French,"Roland Topor, a native"
P103_3400,P103,Roland Topor,French,Russian,"Roland Topor, a native",Eduard Uspensky,Russian,Eduard Uspensky is a native speaker of
P103_3405,P103,Eduard Uspensky,Russian,French,Eduard Uspensky is a native speaker of,Leo Tolstoy,Russian,Leo Tolstoy is a native speaker of
P103_3432,P103,Leo Tolstoy,Russian,French,Leo Tolstoy is a native speaker of,Isabelle Nanty,French,The native language of Isabelle Nanty is
P103_3467,P103,Isabelle Nanty,French,Russian,The native language of Isabelle Nanty is,Jacques Werup,Swedish,Jacques Werup spoke the language
P103_3482,P103,Jacques Werup,Swedish,French,Jacques Werup spoke the language,Lo Hartog van Banda,Dutch,"Lo Hartog van Banda, a native"
P103_3505,P103,Lo Hartog van Banda,Dutch,French,"Lo Hartog van Banda, a native",Louis Jules Trochu,French,The mother tongue of Louis Jules Trochu is
P103_3565,P103,Louis Jules Trochu,French,Russian,The mother tongue of Louis Jules Trochu is,Vasily Kamensky,Russian,Vasily Kamensky is a native speaker of
P103_3575,P103,Vasily Kamensky,Russian,French,Vasily Kamensky is a native speaker of,Paule Andral,French,The native language of Paule Andral is
P103_3619,P103,Paule Andral,French,Russian,The native language of Paule Andral is,Charles de Rochefort,French,The native language of Charles de Rochefort is
P103_3631,P103,Charles de Rochefort,French,Russian,The native language of Charles de Rochefort is,Dmitry Medvedev,Russian,Dmitry Medvedev is a native speaker of
P103_3645,P103,Dmitry Medvedev,Russian,French,Dmitry Medvedev is a native speaker of,Corinne Calvet,French,Corinne Calvet spoke the language
P103_3704,P103,Corinne Calvet,French,Russian,Corinne Calvet spoke the language,Vlada Roslyakova,Russian,The mother tongue of Vlada Roslyakova is
P103_3705,P103,Vlada Roslyakova,Russian,French,The mother tongue of Vlada Roslyakova is,Fanny Ardant,French,Fanny Ardant spoke the language
P103_3712,P103,Fanny Ardant,French,Russian,Fanny Ardant spoke the language,Emmanuel Hocquard,French,"Emmanuel Hocquard, a native"
P103_3780,P103,Emmanuel Hocquard,French,Russian,"Emmanuel Hocquard, a native",William Craft Brumfield,Russian,William Craft Brumfield spoke the language
P103_3808,P103,William Craft Brumfield,Russian,French,William Craft Brumfield spoke the language,Bas Jan Ader,Dutch,Bas Jan Ader is a native speaker of
P103_3820,P103,Bas Jan Ader,Dutch,French,Bas Jan Ader is a native speaker of,Nikolai Luzin,Russian,The mother tongue of Nikolai Luzin is
P103_3848,P103,Nikolai Luzin,Russian,French,The mother tongue of Nikolai Luzin is,Pierre Lescure,French,"Pierre Lescure, speaker of"
P103_3849,P103,Pierre Lescure,French,Russian,"Pierre Lescure, speaker of",Alfred Savoir,French,"Alfred Savoir, a native"
P103_3853,P103,Alfred Savoir,French,Russian,"Alfred Savoir, a native",Joop Zoetemelk,Dutch,"Joop Zoetemelk, speaker of"
P103_3860,P103,Joop Zoetemelk,Dutch,French,"Joop Zoetemelk, speaker of",Constantijn Huygens,Dutch,The native language of Constantijn Huygens is
P103_3881,P103,Constantijn Huygens,Dutch,French,The native language of Constantijn Huygens is,Valeria Bruni Tedeschi,French,Valeria Bruni Tedeschi spoke the language
P103_3906,P103,Valeria Bruni Tedeschi,French,Russian,Valeria Bruni Tedeschi spoke the language,Anne Fontaine,French,Anne Fontaine is a native speaker of
P103_3983,P103,Anne Fontaine,French,Russian,Anne Fontaine is a native speaker of,Michel Subor,French,"Michel Subor, speaker of"
P103_3988,P103,Michel Subor,French,Russian,"Michel Subor, speaker of",Max Jacob,French,"Max Jacob, a native"
P103_4004,P103,Max Jacob,French,Russian,"Max Jacob, a native",John Dalton,English,"John Dalton, speaker of"
P103_4006,P103,John Dalton,English,French,"John Dalton, speaker of",Pierre Bayle,French,"Pierre Bayle, speaker of"
P103_4048,P103,Pierre Bayle,French,Russian,"Pierre Bayle, speaker of",Sergey Platonov,Russian,Sergey Platonov is a native speaker of
P103_4054,P103,Sergey Platonov,Russian,French,Sergey Platonov is a native speaker of,Michel Poniatowski,French,The mother tongue of Michel Poniatowski is
P103_4090,P103,Michel Poniatowski,French,Russian,The mother tongue of Michel Poniatowski is,Jiang Qinqin,Chinese,Jiang Qinqin spoke the language
P103_4100,P103,Jiang Qinqin,Chinese,French,Jiang Qinqin spoke the language,Marthe Mellot,French,Marthe Mellot spoke the language
P103_4118,P103,Marthe Mellot,French,Russian,Marthe Mellot spoke the language,Jean Le Poulain,French,Jean Le Poulain spoke the language
P103_4129,P103,Jean Le Poulain,French,Russian,Jean Le Poulain spoke the language,Jean-Marie Pardessus,French,Jean-Marie Pardessus spoke the language
P103_4183,P103,Jean-Marie Pardessus,French,Russian,Jean-Marie Pardessus spoke the language,Lev Landau,Russian,The mother tongue of Lev Landau is
P103_4199,P103,Lev Landau,Russian,French,The mother tongue of Lev Landau is,Georges Gorse,French,Georges Gorse spoke the language
P103_4216,P103,Georges Gorse,French,Russian,Georges Gorse spoke the language,Kool Shen,French,The native language of Kool Shen is
P103_4220,P103,Kool Shen,French,Russian,The native language of Kool Shen is,Jacques Legras,French,The native language of Jacques Legras is
P103_4231,P103,Jacques Legras,French,Russian,The native language of Jacques Legras is,"Louis de Rouvroy, duc de Saint-Simon",French,"Louis de Rouvroy, duc de Saint-Simon, a native"
P103_4238,P103,"Louis de Rouvroy, duc de Saint-Simon",French,Russian,"Louis de Rouvroy, duc de Saint-Simon, a native",Hendrik Marsman,Dutch,"Hendrik Marsman, speaker of"
P103_4295,P103,Hendrik Marsman,Dutch,French,"Hendrik Marsman, speaker of",Marguerite Yourcenar,French,"Marguerite Yourcenar, speaker of"
P103_4296,P103,Marguerite Yourcenar,French,Russian,"Marguerite Yourcenar, speaker of",Jacques Cazotte,French,"Jacques Cazotte, a native"
P103_4348,P103,Jacques Cazotte,French,Russian,"Jacques Cazotte, a native",Ludivine Sagnier,French,The mother tongue of Ludivine Sagnier is
P103_4349,P103,Ludivine Sagnier,French,Russian,The mother tongue of Ludivine Sagnier is,Olympe de Gouges,French,The mother tongue of Olympe de Gouges is
P103_4403,P103,Olympe de Gouges,French,Russian,The mother tongue of Olympe de Gouges is,Bernard Menez,French,The mother tongue of Bernard Menez is
P103_4405,P103,Bernard Menez,French,Russian,The mother tongue of Bernard Menez is,Roger Vitrac,French,Roger Vitrac spoke the language
P103_4433,P103,Roger Vitrac,French,Russian,Roger Vitrac spoke the language,Johnny Hallyday,French,Johnny Hallyday is a native speaker of
P103_4439,P103,Johnny Hallyday,French,Russian,Johnny Hallyday is a native speaker of,Francis de Croisset,French,The mother tongue of Francis de Croisset is
P103_4457,P103,Francis de Croisset,French,Russian,The mother tongue of Francis de Croisset is,Fyodor Pavlovich Reshetnikov,Russian,Fyodor Pavlovich Reshetnikov spoke the language
P103_4490,P103,Fyodor Pavlovich Reshetnikov,Russian,French,Fyodor Pavlovich Reshetnikov spoke the language,Jean Paulhan,French,"Jean Paulhan, a native"
P103_4501,P103,Jean Paulhan,French,Russian,"Jean Paulhan, a native",Pino Caruso,Italian,The mother tongue of Pino Caruso is
P103_4539,P103,Pino Caruso,Italian,French,The mother tongue of Pino Caruso is,Gilles Quispel,Dutch,Gilles Quispel is a native speaker of
P103_4618,P103,Gilles Quispel,Dutch,French,Gilles Quispel is a native speaker of,Marcel Mouloudji,French,Marcel Mouloudji is a native speaker of
P103_4656,P103,Marcel Mouloudji,French,Russian,Marcel Mouloudji is a native speaker of,Hendrick de Keyser,Dutch,The native language of Hendrick de Keyser is
P103_4747,P103,Hendrick de Keyser,Dutch,French,The native language of Hendrick de Keyser is,Gustave de Beaumont,French,"Gustave de Beaumont, speaker of"
P103_4752,P103,Gustave de Beaumont,French,Russian,"Gustave de Beaumont, speaker of",Daniel Tammet,English,"Daniel Tammet, a native"
P103_4774,P103,Daniel Tammet,English,French,"Daniel Tammet, a native",Joseph Reinach,French,The native language of Joseph Reinach is
P103_4784,P103,Joseph Reinach,French,Russian,The native language of Joseph Reinach is,Olga Georges-Picot,French,The native language of Olga Georges-Picot is
P103_4830,P103,Olga Georges-Picot,French,Russian,The native language of Olga Georges-Picot is,Pierre Bourdieu,French,"Pierre Bourdieu, speaker of"
P103_4831,P103,Pierre Bourdieu,French,Russian,"Pierre Bourdieu, speaker of",Michel Onfray,French,"Michel Onfray, speaker of"
P103_4842,P103,Michel Onfray,French,Russian,"Michel Onfray, speaker of",Thomas Horsfield,English,Thomas Horsfield spoke the language
P103_4871,P103,Thomas Horsfield,English,French,Thomas Horsfield spoke the language,Ville Haapasalo,Russian,Ville Haapasalo is a native speaker of
P103_4932,P103,Ville Haapasalo,Russian,French,Ville Haapasalo is a native speaker of,Anna Prucnal,French,Anna Prucnal is a native speaker of
P103_4998,P103,Anna Prucnal,French,Russian,Anna Prucnal is a native speaker of,Gleb Kotelnikov,Russian,"Gleb Kotelnikov, a native"
P103_5062,P103,Gleb Kotelnikov,Russian,French,"Gleb Kotelnikov, a native",Jean Rotrou,French,"Jean Rotrou, a native"
P103_5065,P103,Jean Rotrou,French,Russian,"Jean Rotrou, a native","Jean-Baptiste de Boyer, Marquis d'Argens",French,"The native language of Jean-Baptiste de Boyer, Marquis d'Argens is"
