model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair2,Q,-1.375,6.125,16049,16049
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair3,P,0.0,6.375,6866,6866
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair3,Q,-0.125,5.6875,6866,6866
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair4,P,-3.25,6.5,6646,6646
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair4,Q,-3.25,7.625,6646,6646
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair5,P,-1.25,7.0625,8849,8849
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair5,Q,-1.25,6.125,8849,8849
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair6,P,-1.125,13.4921875,50376,50376
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair6,Q,-2.625,13.1875,50376,50376
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair7,P,-1.625,9.5625,2341,2341
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair7,Q,-1.25,7.8125,2341,2341
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair8,P,-0.25,8.25,4078,4078
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair8,Q,-0.5,8.25,4078,4078
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair9,P,-2.375,10.75,25251,25251
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair9,Q,-3.625,10.4375,25251,25251
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair0,P,-1.125,0.1875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair0,Q,-1.75,-0.375,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair1,P,-0.625,0.3125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair1,Q,-1.25,-0.8125,6351,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair2,P,-1.125,1.25,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair2,Q,-1.5,0.625,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair3,P,-1.5,-0.25,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair3,Q,-2.75,-1.125,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair4,P,-0.75,0.8125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair4,Q,-0.625,1.6875,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair5,P,-1.0,1.4375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair5,Q,-0.75,0.1875,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair6,P,-1.5,0.625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair6,Q,-1.625,-0.0625,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair7,P,-0.75,0.125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair7,Q,-0.875,0.5,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair8,P,-1.0,1.0,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair8,Q,-1.875,-0.25,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair9,P,-1.0,0.375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-OPP,pair9,Q,-1.375,-0.3125,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair0,P,0.125,-0.4375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair0,Q,-1.5,4.25,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair1,P,0.375,-1.6875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair1,Q,-1.625,3.3125,6351,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair2,P,0.0,-2.1875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair2,Q,-1.375,2.25,6351,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair3,P,-0.375,-0.4375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair3,Q,-2.875,2.1875,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair4,P,-0.75,1.875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair4,Q,-1.25,3.1875,6351,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair5,P,-0.75,-1.25,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair5,Q,-1.375,2.8125,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair6,P,-1.125,1.0625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair6,Q,-2.125,2.46875,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair7,P,-0.125,-0.25,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair7,Q,-0.375,1.8125,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair8,P,-0.25,1.0625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair8,Q,-2.0,3.0,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair9,P,-0.125,0.625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-MORE,pair9,Q,-2.375,3.0,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair0,P,0.125,-2.625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair0,Q,-2.125,0.5,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair1,P,0.5,-5.625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair1,Q,-1.625,0.25,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair2,P,0.0,0.3125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair2,Q,-2.5,1.25,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair3,P,-0.5,0.0,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair3,Q,-2.25,0.625,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair4,P,-0.625,1.5625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair4,Q,-2.5,0.375,6351,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair5,P,-0.125,-3.1875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair5,Q,-2.0,0.5,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair6,P,-0.375,-0.75,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair6,Q,-2.375,0.5,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair7,P,-0.5,-3.84375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair7,Q,-0.125,-1.0,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair8,P,0.0,-2.4375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair8,Q,-0.875,-0.125,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair9,P,-0.75,-1.0,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,SAME-LESS,pair9,Q,-2.375,0.5,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair0,P,-0.5,-0.1875,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair0,Q,-0.375,2.0625,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair1,P,-0.75,-0.65625,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair1,Q,-0.375,1.75,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair2,P,-0.625,-0.375,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair2,Q,-0.875,1.625,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair3,P,-0.75,0.875,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair3,Q,-1.0,3.75,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair4,P,-0.5,1.0,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair4,Q,-0.5,1.5,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair5,P,-0.25,1.625,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair5,Q,-1.75,3.1875,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair6,P,-0.875,1.125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair6,Q,-1.25,2.25,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair7,P,-0.75,-1.15625,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair7,Q,-1.0,0.375,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair8,P,-0.25,0.8125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair8,Q,-0.5,1.6875,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair9,P,-0.5,0.75,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-MORE,pair9,Q,-1.0,3.625,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair0,P,0.0,-1.0390625,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair0,Q,0.25,-1.90625,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair1,P,0.0,-1.71875,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair1,Q,0.125,-2.40625,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair2,P,-0.5,2.599609375,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair2,Q,-1.125,1.875,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair3,P,0.5,0.0625,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair3,Q,0.25,0.375,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair4,P,-0.125,0.7734375,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair4,Q,-0.375,1.625,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair5,P,0.125,-0.85888671875,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair5,Q,-1.875,-0.9375,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair6,P,-0.125,0.703125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair6,Q,0.0,1.875,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair7,P,-0.25,-0.341796875,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair7,Q,-0.25,-2.5625,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair8,P,-0.25,-0.375,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair8,Q,-0.125,-0.9375,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.03,23,23,OPP-LESS,pair9,P,0.375,-0.37890625,45778,45778
